REQUESTSOURCE,MOBILEOS,ZIPCODE,LATITUDE,LONGITUDE,NCNAME,CT10,GEOID10,OBJECTID,Shape_STAr,Shape_STLe,X_Center,Y_Center,Hour,Weekday,Month,DayPartition
Mobile App,iOS,90036,34.07753995,-118.3613141,MID CITY WEST CC,214400,6037214400,1563,3705377.339,7957.457331,6453462,1851021,12,1,3,3
Self Service,,90036,34.07651993,-118.3613054,MID CITY WEST CC,214400,6037214400,1563,3705377.339,7957.457331,6453462,1851021,11,2,3,3
Call,,90036,34.07626234,-118.3607599,MID CITY WEST CC,214400,6037214400,1563,3705377.339,7957.457331,6453462,1851021,15,2,3,3
Mobile App,Android,90036,34.0779773,-118.3554603,MID CITY WEST CC,214400,6037214400,1563,3705377.339,7957.457331,6453462,1851021,15,2,6,3
Self Service,,90036,34.0779106,-118.3605494,MID CITY WEST CC,214400,6037214400,1563,3705377.339,7957.457331,6453462,1851021,12,7,6,3
Mobile App,iOS,90036,34.07997754,-118.3612956,MID CITY WEST CC,214400,6037214400,1563,3705377.339,7957.457331,6453462,1851021,24,2,7,4
Call,,90036,34.07871971,-118.3605504,MID CITY WEST CC,214400,6037214400,1563,3705377.339,7957.457331,6453462,1851021,10,1,8,2
Call,,90012,34.05292846,-118.2444975,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,9,4,1,2
Mobile App,iOS,90012,34.05857845,-118.2514586,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,16,1,9,3
Self Service,,90012,34.05603499,-118.2441624,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,8,2,3,2
Mobile App,iOS,90012,34.05346212,-118.2449682,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,16,5,1,3
Call,,90012,34.05188814,-118.2435814,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,15,3,2,3
Call,,90012,34.0604127,-118.2478975,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,12,5,9,3
Self Service,,90012,34.05857845,-118.2514586,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,14,1,4,3
Self Service,,90012,34.05362711,-118.2455607,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,15,4,4,3
Self Service,,90012,34.05244059,-118.2397407,HISTORIC CULTURAL NC,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,13,5,4,3
Self Service,,90012,34.06100544,-118.2494595,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,14,6,2,3
Self Service,,90012,34.05515631,-118.2432267,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,15,5,2,3
Self Service,,90012,34.05824863,-118.2517956,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,11,5,5,3
Self Service,,90012,34.05665406,-118.2483956,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,15,3,10,3
Mobile App,iOS,90012,34.05176539,-118.2431059,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,14,6,6,3
Call,,90012,34.05545873,-118.2418885,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,15,3,9,3
Call,,90012,34.05676862,-118.2426164,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,9,3,6,2
Self Service,,90012,34.05833966,-118.2516997,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,9,5,6,2
Call,,90012,34.05570449,-118.2436138,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,10,6,10,2
Call,,90012,34.05325405,-118.2422306,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,11,1,7,3
