Area.Name,Victim.Age,Victim.Sex,Victim.Descent,latitude,longitude,CRIME DESCRIPTION SHORT,GENERAL DESCRIPTION,Hour,Weekday,Month,DayPartition
CENTRAL,53,M,B,34.0442,-118.2439,AGGRAVATED ASSAULT,ASSAULT,13,2,8,3
CENTRAL,69,M,B,34.0417,-118.2443,ROBBERY,THEFT,22,2,8,4
SOUTHWEST,30,F,B,34.0146,-118.313,SIMPLE ASSAULT,ASSAULT,15,2,8,3
CENTRAL,49,M,B,34.0437,-118.2455,AGGRAVATED ASSAULT,ASSAULT,20,3,8,4
CENTRAL,47,F,W,34.0527,-118.2314,GRAND THEFT,THEFT,3,3,8,1
CENTRAL,28,M,H,34.0421,-118.2469,AGGRAVATED ASSAULT,ASSAULT,17,3,8,3
CENTRAL,44,F,B,34.0428,-118.2461,SIMPLE ASSAULT,ASSAULT,21,3,8,4
CENTRAL,44,M,W,34.057,-118.2437,CRIMINAL THREATS,OTHER MISCELLANEOUS CRIME,21,3,8,4
RAMPART,21,M,H,34.0547,-118.2772,ROBBERY,THEFT,24,3,8,4
SOUTHWEST,59,F,B,34.0074,-118.2827,SIMPLE ASSAULT,ASSAULT,15,3,8,3
VAN NUYS,27,M,H,34.153,-118.4487,PETTY THEFT,THEFT,13,3,8,3
CENTRAL,46,F,B,34.0449,-118.2458,PETTY THEFT,THEFT,12,4,8,3
CENTRAL,52,F,B,34.0435,-118.2427,BURGLARY,THEFT,15,4,8,3
RAMPART,39,M,W,34.061,-118.2775,SIMPLE ASSAULT,ASSAULT,22,4,8,4
RAMPART,40,F,W,34.0573,-118.2763,SIMPLE ASSAULT,ASSAULT,22,4,8,4
HOLLENBECK,46,M,H,34.0234,-118.2177,AGGRAVATED ASSAULT,ASSAULT,3,4,8,1
WEST LA,62,M,W,34.0487,-118.4413,ROBBERY,THEFT,21,4,8,4
WEST VALLEY,25,F,H,34.2084,-118.5623,SIMPLE ASSAULT,ASSAULT,23,4,8,4
NORTH HOLLYWOOD,57,M,B,34.1649,-118.379,ROBBERY,THEFT,12,4,8,3
SOUTHEAST,41,M,B,33.951,-118.2396,AGGRAVATED ASSAULT,ASSAULT,23,4,8,4
CENTRAL,24,F,H,34.0563,-118.2374,SEXUAL ASSAULT,SEXUAL ASSAULT,18,5,8,4
CENTRAL,61,F,B,34.0421,-118.2469,SIMPLE ASSAULT,ASSAULT,16,5,8,3
DEVONSHIRE,62,M,W,34.2246,-118.571,ROBBERY,THEFT,18,5,8,4
CENTRAL,28,M,H,34.0511,-118.2381,SEXUAL ASSAULT,SEXUAL ASSAULT,2,6,8,1
CENTRAL,46,F,W,34.0685,-118.246,SIMPLE ASSAULT,ASSAULT,9,6,8,2
CENTRAL,25,M,W,34.0544,-118.2378,AGGRAVATED ASSAULT,ASSAULT,19,6,8,4
CENTRAL,38,F,W,34.0565,-118.2445,AGGRAVATED ASSAULT,ASSAULT,23,6,8,4
VAN NUYS,32,M,W,34.1802,-118.4444,SIMPLE ASSAULT,ASSAULT,2,6,8,1
WEST VALLEY,40,F,W,34.1757,-118.4846,SIMPLE ASSAULT,ASSAULT,23,6,8,4
TOPANGA,42,F,B,34.2246,-118.5951,SIMPLE ASSAULT,ASSAULT,9,6,8,2
CENTRAL,64,M,B,34.0421,-118.2469,SIMPLE ASSAULT,ASSAULT,13,7,8,3
CENTRAL,56,M,B,34.0442,-118.2439,SIMPLE ASSAULT,ASSAULT,21,7,8,4
HARBOR,30,F,H,33.7798,-118.2656,SIMPLE ASSAULT,ASSAULT,14,7,8,3
77TH STREET,25,F,B,33.9619,-118.2739,OTHER ASSAULT,ASSAULT,18,7,8,4
CENTRAL,57,F,W,34.0363,-118.2677,ORAL COPULATION,SEXUAL ASSAULT,19,1,8,4
CENTRAL,46,M,W,34.0462,-118.2585,SIMPLE ASSAULT,ASSAULT,18,1,8,4
CENTRAL,18,M,B,34.0488,-118.2518,ROBBERY,THEFT,20,1,8,4
CENTRAL,33,M,W,34.0537,-118.2558,SIMPLE ASSAULT,ASSAULT,8,1,8,2
CENTRAL,28,F,B,34.0428,-118.2461,ATTEMPTED ROBBERY,THEFT,5,1,8,2
WEST LA,58,M,W,34.0531,-118.3941,SIMPLE ASSAULT,ASSAULT,20,1,8,4
WEST VALLEY,53,F,W,34.2012,-118.4738,SEXUAL ASSAULT,SEXUAL ASSAULT,20,1,8,4
NEWTON,59,M,B,34.0039,-118.2717,VANDALISM,VANDALISM,12,1,8,3
CENTRAL,52,M,B,34.0446,-118.245,SIMPLE ASSAULT,ASSAULT,2,2,8,1
RAMPART,36,M,W,34.0549,-118.2778,ROBBERY,THEFT,0,2,8,1
PACIFIC,65,M,W,33.997,-118.4761,AGGRAVATED ASSAULT,ASSAULT,4,2,8,2
PACIFIC,29,F,W,33.9509,-118.3725,AGGRAVATED ASSAULT,ASSAULT,9,2,8,2
TOPANGA,21,F,W,34.1865,-118.6017,SIMPLE ASSAULT,ASSAULT,19,2,8,4
CENTRAL,56,F,B,34.0428,-118.2461,AGGRAVATED ASSAULT,ASSAULT,18,3,8,4
CENTRAL,NA,F,H,34.0563,-118.2374,"RAPE, FORCIBLE",SEXUAL ASSAULT,5,3,8,2
CENTRAL,65,F,B,34.0453,-118.2443,SIMPLE ASSAULT,ASSAULT,21,3,8,4
CENTRAL,34,F,B,34.0428,-118.2461,"RAPE, FORCIBLE",SEXUAL ASSAULT,22,3,8,4
CENTRAL,25,M,W,34.0446,-118.249,SIMPLE ASSAULT,ASSAULT,10,3,8,2
SOUTHWEST,55,F,W,34.014,-118.2816,AGGRAVATED ASSAULT,ASSAULT,16,3,8,3
HARBOR,57,F,H,33.7378,-118.2804,CRIMINAL THREATS,OTHER MISCELLANEOUS CRIME,15,3,8,3
VAN NUYS,34,M,W,34.1576,-118.438,PETTY THEFT,THEFT,15,3,8,3
NORTHEAST,57,M,H,34.1179,-118.2451,SIMPLE ASSAULT,ASSAULT,4,3,8,2
CENTRAL,27,F,W,34.0423,-118.2452,SIMPLE ASSAULT,ASSAULT,16,4,8,3
CENTRAL,51,M,W,34.0566,-118.2319,AGGRAVATED ASSAULT,ASSAULT,0,4,8,1
RAMPART,41,M,W,34.0759,-118.2668,ROBBERY,THEFT,11,4,8,3
CENTRAL,55,M,B,34.0368,-118.2412,SIMPLE ASSAULT,ASSAULT,2,5,8,1
CENTRAL,NA,F,B,34.0448,-118.2474,SIMPLE ASSAULT,ASSAULT,13,5,8,3
CENTRAL,51,M,W,34.0435,-118.2471,SIMPLE ASSAULT,ASSAULT,19,5,8,4
SOUTHWEST,56,M,B,34.0199,-118.3354,SIMPLE ASSAULT,ASSAULT,10,5,8,2
SOUTHEAST,59,M,B,33.9586,-118.2761,AGGRAVATED ASSAULT,ASSAULT,13,5,8,3
CENTRAL,25,M,B,34.0426,-118.2412,AGGRAVATED ASSAULT,ASSAULT,21,6,8,4
77TH STREET,42,M,H,33.9778,-118.3003,AGGRAVATED ASSAULT,ASSAULT,13,6,8,3
CENTRAL,61,M,B,34.0461,-118.2476,SIMPLE ASSAULT,ASSAULT,12,7,8,3
CENTRAL,52,M,B,34.0713,-118.2291,GRAND THEFT,THEFT,22,7,8,4
NORTHEAST,60,F,H,34.1068,-118.1984,SIMPLE ASSAULT,ASSAULT,22,7,8,4
NORTHEAST,47,F,H,34.1002,-118.2038,SIMPLE ASSAULT,ASSAULT,14,7,8,3
CENTRAL,35,M,H,34.0442,-118.2439,AGGRAVATED ASSAULT,ASSAULT,14,1,8,3
CENTRAL,28,F,B,34.043,-118.242,SIMPLE ASSAULT,ASSAULT,17,1,8,3
WEST LA,42,F,H,34.0453,-118.4474,BURGLARY,THEFT,23,1,8,4
WEST LA,33,F,W,34.0279,-118.5188,"RAPE, FORCIBLE",SEXUAL ASSAULT,2,1,8,1
77TH STREET,31,F,B,33.9679,-118.2803,AGGRAVATED ASSAULT,ASSAULT,24,1,8,4
NORTH HOLLYWOOD,80,M,W,34.1758,-118.3643,AGGRAVATED ASSAULT,ASSAULT,2,1,8,1
NORTH HOLLYWOOD,58,M,W,34.1794,-118.3615,AGGRAVATED ASSAULT,ASSAULT,2,1,8,1
SOUTHEAST,59,F,B,33.9601,-118.2881,BRANDISH WEAPON,OTHER MISCELLANEOUS CRIME,2,1,8,1
CENTRAL,48,F,B,34.0421,-118.2469,AGGRAVATED ASSAULT,ASSAULT,12,2,8,3
CENTRAL,48,F,B,34.0421,-118.2469,GRAND THEFT,THEFT,10,2,8,2
