tract,City,Community_Name,Detailed_Name,call_counts,crime_counts,shelter_counts,Land.Area,lat,long,Shape.Area,Shape.Length,totUnshelt2017,totShelt2017,totHomeless2017,totUnshelt2016,totShelt2016,totHomeless2016
101110,Los Angeles,Sunland-Tujunga,Sunland-Tujunga NC,0,0,0,0.44,34.2594737,-118.2929869,0.000111817,0.047170396,1,0,1,6,0,6
101122,Los Angeles,Sunland-Tujunga,Sunland-Tujunga NC,0,0,0,1.02,34.2677213,-118.2901465,0.000258821,0.096237181,0,0,0,6,0,6
101210,Los Angeles,Sunland-Tujunga,Sunland-Tujunga NC,0,0,0,0.25,34.2529724,-118.2907309,6.36839E-05,0.037365285,5.095,0,5.095,19,0,19
101220,Los Angeles,Sunland-Tujunga,Sunland-Tujunga NC,0,0,1,0.27,34.2516085,-118.2816322,6.84079E-05,0.038496788,34,0,34,39,0,39
101300,Los Angeles,Sunland-Tujunga,Sunland-Tujunga NC,10,0,0,1,34.2487776,-118.2709988,0.000252535,0.085834381,20.108,0,20.108,33,0,33
101400,Los Angeles,Sunland-Tujunga,Sunland-Tujunga NC,0,0,0,2.44,34.2428534,-118.2941635,0.000617417,0.133832355,11.995,0,11.995,17,0,17
102103,Los Angeles,Sun Valley,Sun Valley Area NC,0,0,0,0.46,34.2250793,-118.354188,0.000116084,0.051642006,8.093,0,8.093,20,0,20
102104,Los Angeles,Sun Valley,Sun Valley Area NC,1,0,0,0.64,34.2161866,-118.3454041,0.000162402,0.083594547,0,0,0,28,0,28
102105,Los Angeles,Sun Valley,Sun Valley Area NC,0,0,0,0.19,34.2098714,-118.3492638,4.81505E-05,0.030124716,9.802,0,9.802,10,0,10
102107,Los Angeles,Foothill Trails,Foothill Trails District NC,4,0,0,4.98,34.2409055,-118.3395158,0.001264543,0.198263465,4.616,0,4.616,0,0,0
103101,Los Angeles,Sunland-Tujunga,Sunland-Tujunga NC,0,0,0,0.78,34.2732407,-118.3078874,0.000198707,0.079035095,6.781,0,6.781,23,0,23
103102,Los Angeles,Sunland-Tujunga,Sunland-Tujunga NC,3,0,0,0.48,34.2633843,-118.3073883,0.000121476,0.051432013,12.4,0,12.4,2,0,2
103200,Los Angeles,Foothill Trails,Foothill Trails District NC,10,0,0,2.86,34.2733521,-118.3402287,0.000726056,0.163889372,55.271,0,55.271,65,0,65
103300,Los Angeles,Foothill Trails,Foothill Trails District NC,0,0,0,2.37,34.2573787,-118.3554781,0.00060116,0.115578914,14.775,0,14.775,0,0,0
103400,Los Angeles,Sunland-Tujunga,Sunland-Tujunga NC,8,0,0,0.97,34.2548355,-118.3139736,0.000244758,0.078805164,17.795,0,17.795,17,0,17
104103,Los Angeles,Foothill Trails,Foothill Trails District NC,0,0,0,0.37,34.2820993,-118.3925764,9.29228E-05,0.041582938,33.106,0,33.106,10,0,10
104105,Los Angeles,Pacoima,Pacoima NC,0,0,0,0.23,34.2761482,-118.4046862,5.72385E-05,0.035640156,6.781,8,14.781,0,5,5
104108,Los Angeles,Pacoima,Pacoima NC,3,0,0,0.42,34.2731497,-118.3985703,0.000107359,0.058296503,6.116,0,6.116,6,0,6
