"","tract","X","Year","City","LACity","Community_Name","Detailed_Name","SPA","SD","CD","ca_ssd","ca_sad","us_cd","DemogSurvCt","YouthSurvCt","SheltHmisCt","ShelterCountAny","StreetCountAny","totStreetSingAdult","totStreetFamHH","totStreetFamMem","totCars","totVans","totCampers","totTents","totEncamp","totCarPeople","totVanPeople","totCamperPeople","totTentPeople","totEncampPeople","FamCarHH","FamVanHH","FamCamperHH","FamTentHH","FamEncampHH","FamCarPeople","FamVanPeople","FamCamperPeople","FamTentPeople","FamEncampPeople","IndCarPeople","IndVanPeople","IndCamperPeople","IndTentPeople","IndEncampPeople","totYouthFamHH","totESAdultSingAdult","totESAdultFamHH","totESAdultFamMem","totESYouthSingYouth","totESYouthFamHH","totESYouthFamMem","totESYouthUnaccYouth","totTHAdultSingAdult","totTHAdultFamHH","totTHAdultFamMem","totTHYouthSingYouth","totTHYouthFamHH","totTHYouthFamMem","totTHYouthUnaccYouth","totSHAdultSingAdult","totSHAdultFamHH","totSHAdultFamMem","totSHYouthSingYouth","totSHYouthFamHH","totSHYouthFamMem","totSHYouthUnaccYouth","totUnsheltPeople","totESPeople","totTHPeople","totSHPeople","totSheltPeople","totPeople","call_counts","crime_counts","shelter_counts","Area.in.square.miles...Land.area","density","lat","long","Population","Housing.units","Total.Square.Miles","Water.Area","Land.Area","Population.Density","Housing.Density"
"1",101110,0,2017,"Los Angeles",1,"Sunland-Tujunga","Sunland-Tujunga NC",2,5,7,25,39,28,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.44,2.272727273,34.2594737,-118.2929869,"4731","1734",0.44,0,0.44,"10,725.80","3,931.20"
"2",101122,1,2017,"Los Angeles",1,"Sunland-Tujunga","Sunland-Tujunga NC",2,5,7,25,39,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,34.2677213,-118.2901465,"3664","1369",1.02,0,1.02,"3,589.10","1,341.00"
"3",101210,2,2017,"Los Angeles",1,"Sunland-Tujunga","Sunland-Tujunga NC",2,5,7,25,39,28,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,2.095,0,0,0,0,0.032,0,0,0,0,0.111,0,0,0,0,1.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.095,0,0,0,0,5.095,0,0,0,0.25,20.38,34.2529724,-118.2907309,"5990","2317",0.25,0,0.25,"23,842.40","9,222.50"
"4",101220,3,2017,"Los Angeles",1,"Sunland-Tujunga","Sunland-Tujunga NC",2,5,7,25,39,28,0,0,0,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,34,0,0,1,0.27,125.9259259,34.2516085,-118.2816322,"3363","1317",0.27,0,0.27,"12,461.40","4,880.10"
"5",101300,4,2017,"Los Angeles",1,"Sunland-Tujunga","Sunland-Tujunga NC",2,5,7,25,39,28,11,0,0,0,1,15,0,0,0,0,0,3,0,0,0,0,5.108,0,0,0,0,0.017,0,0,0,0,0.064,0,0,0,0,5.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.108,0,0,0,0,20.108,10,0,0,1,20.108,34.2487776,-118.2709988,"4199","1582",1,0,1,"4,214.60","1,587.90"
"6",101400,5,2017,"Los Angeles",1,"Sunland-Tujunga","Sunland-Tujunga NC",2,5,7,25,39,28,0,0,0,0,1,0,0,0,0,2,4,0,0,0,3.616,8.379,0,0,0,0.043,0.127,0,0,0,0.15,0.445,0,0,0,3.466,7.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.995,0,0,0,0,11.995,0,0,0,2.44,4.915983607,34.2428534,-118.2941635,"3903","1568",2.44,0,2.44,"1,602.20","643.7"
"7",102103,6,2017,"Los Angeles",1,"Sun Valley","Sun Valley Area NC",2,5,2,25,39,28,8,0,0,0,1,0,0,0,0,1,3,0,0,0,1.808,6.285,0,0,0,0.022,0.095,0,0,0,0.075,0.334,0,0,0,1.733,5.951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.093,0,0,0,0,8.093,0,0,0,0.46,17.59347826,34.2250793,-118.354188,"1740","680",0.46,0,0.46,"3,798.30","1,484.40"
"8",102104,7,2017,"Los Angeles",1,"Sun Valley","Sun Valley Area NC",2,5,2,25,39,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.64,0,34.2161866,-118.3454041,"3648","1326",0.64,0,0.64,"5,691.60","2,068.80"
"9",102105,8,2017,"Los Angeles",1,"Sun Valley","Sun Valley Area NC",2,5,2,18,39,29,6,0,0,0,1,0,0,0,1,0,3,0,1,1.591,0,6.285,0,1.926,0.051,0,0.095,0,0.006,0.151,0,0.334,0,0.021,1.439,0,5.951,0,1.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.802,0,0,0,0,9.802,0,0,0,0.19,51.58947368,34.2098714,-118.3492638,"1731","560",0.19,0,0.19,"9,108.20","2,946.60"
"10",102107,9,2017,"Los Angeles",1,"Foothill Trails","Foothill Trails District NC",2,5,7,25,39,28,0,0,0,0,1,1,0,0,0,2,0,0,0,0,3.616,0,0,0,0,0.043,0,0,0,0,0.15,0,0,0,0,3.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.616,0,0,0,0,4.616,4,0,0,4.98,0.926907631,34.2409055,-118.3395158,"3851","1326",4.99,0.01,4.98,"772.7","266"
